Offene Stellen,Wirtschaftsabteilung,Quartal,job_vacancies
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,1996Q2,
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,1996Q3,
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,1996Q4,
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,1997Q1,
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,1997Q2,
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,1997Q3,
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,1997Q4,
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,1998Q1,
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,1998Q2,
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,1998Q3,
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,1998Q4,
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,1999Q1,
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,1999Q2,
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,1999Q3,
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,1999Q4,
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2000Q1,
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2000Q2,
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2000Q3,
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2000Q4,
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2001Q1,
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2001Q2,
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2001Q3,
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2001Q4,
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2002Q1,
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2002Q2,
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2002Q3,
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2002Q4,
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2003Q1,
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2003Q2,571.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2003Q3,365.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2003Q4,467.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2004Q1,765.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2004Q2,768.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2004Q3,725.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2004Q4,740.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2005Q1,794.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2005Q2,884.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2005Q3,879.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2005Q4,894.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2006Q1,1184.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2006Q2,1353.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2006Q3,1462.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2006Q4,1580.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2007Q1,1970.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2007Q2,2328.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2007Q3,2249.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2007Q4,2363.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2008Q1,2629.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2008Q2,2310.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2008Q3,2144.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2008Q4,1188.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2009Q1,809.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2009Q2,724.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2009Q3,715.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2009Q4,726.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2010Q1,1039.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2010Q2,1247.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2010Q3,1358.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2010Q4,1543.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2011Q1,1870.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2011Q2,1810.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2011Q3,1350.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2011Q4,1230.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2012Q1,1414.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2012Q2,1335.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2012Q3,1390.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2012Q4,1044.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2013Q1,1175.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2013Q2,1223.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2013Q3,1082.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2013Q4,1119.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2014Q1,1357.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2014Q2,1311.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2014Q3,1181.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2014Q4,1208.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2015Q1,1002.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2015Q2,986.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2015Q3,1036.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2015Q4,1056.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2016Q1,1228.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2016Q2,1315.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2016Q3,1396.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2016Q4,1363.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2017Q1,1241.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2017Q2,1648.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2017Q3,1737.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2017Q4,1764.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2018Q1,1919.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2018Q2,2214.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2018Q3,2240.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2018Q4,2146.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2019Q1,2215.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2019Q2,1947.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2019Q3,1634.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2019Q4,1778.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2020Q1,1467.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2020Q2,1074.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2020Q3,1093.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2020Q4,1259.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2021Q1,1631.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2021Q2,2013.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2021Q3,2166.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2021Q4,2319.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2022Q1,2845.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2022Q2,2872.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2022Q3,2923.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2022Q4,2808.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2023Q1,3163.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2023Q2,3267.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2023Q3,3048.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2023Q4,2617.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2024Q1,2779.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2024Q2,2145.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2024Q3,2018.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2024Q4,2030.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2025Q1,1935.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2025Q2,1864.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2025Q3,1927.0
Job vacancies - total,28 Manufacture of machinery and equipment n.e.c.,2025Q4,1490.0
Job vacancies - total,41-43 Construction,1992Q2,
Job vacancies - total,41-43 Construction,1992Q3,
Job vacancies - total,41-43 Construction,1992Q4,
Job vacancies - total,41-43 Construction,1993Q1,
Job vacancies - total,41-43 Construction,1993Q2,
Job vacancies - total,41-43 Construction,1993Q3,
Job vacancies - total,41-43 Construction,1993Q4,
Job vacancies - total,41-43 Construction,1994Q1,
Job vacancies - total,41-43 Construction,1994Q2,
Job vacancies - total,41-43 Construction,1994Q3,
Job vacancies - total,41-43 Construction,1994Q4,
Job vacancies - total,41-43 Construction,1995Q1,
Job vacancies - total,41-43 Construction,1995Q2,
Job vacancies - total,41-43 Construction,1995Q3,
Job vacancies - total,41-43 Construction,1995Q4,
Job vacancies - total,41-43 Construction,1996Q1,
Job vacancies - total,41-43 Construction,1996Q2,
Job vacancies - total,41-43 Construction,1996Q3,
Job vacancies - total,41-43 Construction,1996Q4,
Job vacancies - total,41-43 Construction,1997Q1,
Job vacancies - total,41-43 Construction,1997Q2,
Job vacancies - total,41-43 Construction,1997Q3,
Job vacancies - total,41-43 Construction,1997Q4,
Job vacancies - total,41-43 Construction,1998Q1,
Job vacancies - total,41-43 Construction,1998Q2,
Job vacancies - total,41-43 Construction,1998Q3,
Job vacancies - total,41-43 Construction,1998Q4,
Job vacancies - total,41-43 Construction,1999Q1,
Job vacancies - total,41-43 Construction,1999Q2,
Job vacancies - total,41-43 Construction,1999Q3,
Job vacancies - total,41-43 Construction,1999Q4,
Job vacancies - total,41-43 Construction,2000Q1,
Job vacancies - total,41-43 Construction,2000Q2,
Job vacancies - total,41-43 Construction,2000Q3,
Job vacancies - total,41-43 Construction,2000Q4,
Job vacancies - total,41-43 Construction,2001Q1,
Job vacancies - total,41-43 Construction,2001Q2,
Job vacancies - total,41-43 Construction,2001Q3,
Job vacancies - total,41-43 Construction,2001Q4,
Job vacancies - total,41-43 Construction,2002Q1,
Job vacancies - total,41-43 Construction,2002Q2,
Job vacancies - total,41-43 Construction,2002Q3,
Job vacancies - total,41-43 Construction,2002Q4,
Job vacancies - total,41-43 Construction,2003Q1,
Job vacancies - total,41-43 Construction,2003Q2,5238.0
Job vacancies - total,41-43 Construction,2003Q3,3930.0
Job vacancies - total,41-43 Construction,2003Q4,3632.0
Job vacancies - total,41-43 Construction,2004Q1,4070.0
Job vacancies - total,41-43 Construction,2004Q2,4629.0
Job vacancies - total,41-43 Construction,2004Q3,3030.0
Job vacancies - total,41-43 Construction,2004Q4,3263.0
Job vacancies - total,41-43 Construction,2005Q1,4060.0
Job vacancies - total,41-43 Construction,2005Q2,3481.0
Job vacancies - total,41-43 Construction,2005Q3,3021.0
Job vacancies - total,41-43 Construction,2005Q4,3780.0
Job vacancies - total,41-43 Construction,2006Q1,4868.0
Job vacancies - total,41-43 Construction,2006Q2,5489.0
Job vacancies - total,41-43 Construction,2006Q3,4592.0
Job vacancies - total,41-43 Construction,2006Q4,4295.0
Job vacancies - total,41-43 Construction,2007Q1,6195.0
Job vacancies - total,41-43 Construction,2007Q2,6157.0
Job vacancies - total,41-43 Construction,2007Q3,5376.0
Job vacancies - total,41-43 Construction,2007Q4,5278.0
Job vacancies - total,41-43 Construction,2008Q1,5792.0
Job vacancies - total,41-43 Construction,2008Q2,6810.0
Job vacancies - total,41-43 Construction,2008Q3,6398.0
Job vacancies - total,41-43 Construction,2008Q4,4272.0
Job vacancies - total,41-43 Construction,2009Q1,3919.0
Job vacancies - total,41-43 Construction,2009Q2,4104.0
Job vacancies - total,41-43 Construction,2009Q3,3764.0
Job vacancies - total,41-43 Construction,2009Q4,3978.0
Job vacancies - total,41-43 Construction,2010Q1,4640.0
Job vacancies - total,41-43 Construction,2010Q2,5146.0
Job vacancies - total,41-43 Construction,2010Q3,4431.0
Job vacancies - total,41-43 Construction,2010Q4,4578.0
Job vacancies - total,41-43 Construction,2011Q1,5133.0
Job vacancies - total,41-43 Construction,2011Q2,5060.0
Job vacancies - total,41-43 Construction,2011Q3,4436.0
Job vacancies - total,41-43 Construction,2011Q4,4060.0
Job vacancies - total,41-43 Construction,2012Q1,5494.0
Job vacancies - total,41-43 Construction,2012Q2,4535.0
Job vacancies - total,41-43 Construction,2012Q3,4402.0
Job vacancies - total,41-43 Construction,2012Q4,3773.0
Job vacancies - total,41-43 Construction,2013Q1,4865.0
Job vacancies - total,41-43 Construction,2013Q2,3888.0
Job vacancies - total,41-43 Construction,2013Q3,4051.0
Job vacancies - total,41-43 Construction,2013Q4,3751.0
Job vacancies - total,41-43 Construction,2014Q1,4596.0
Job vacancies - total,41-43 Construction,2014Q2,3687.0
Job vacancies - total,41-43 Construction,2014Q3,3118.0
Job vacancies - total,41-43 Construction,2014Q4,3291.0
Job vacancies - total,41-43 Construction,2015Q1,4334.0
Job vacancies - total,41-43 Construction,2015Q2,3259.0
Job vacancies - total,41-43 Construction,2015Q3,2211.0
Job vacancies - total,41-43 Construction,2015Q4,2426.0
Job vacancies - total,41-43 Construction,2016Q1,2547.0
Job vacancies - total,41-43 Construction,2016Q2,2706.0
Job vacancies - total,41-43 Construction,2016Q3,2359.0
Job vacancies - total,41-43 Construction,2016Q4,2054.0
Job vacancies - total,41-43 Construction,2017Q1,3249.0
Job vacancies - total,41-43 Construction,2017Q2,2935.0
Job vacancies - total,41-43 Construction,2017Q3,2920.0
Job vacancies - total,41-43 Construction,2017Q4,3305.0
Job vacancies - total,41-43 Construction,2018Q1,4825.0
Job vacancies - total,41-43 Construction,2018Q2,5011.0
Job vacancies - total,41-43 Construction,2018Q3,4785.0
Job vacancies - total,41-43 Construction,2018Q4,5564.0
Job vacancies - total,41-43 Construction,2019Q1,4893.0
Job vacancies - total,41-43 Construction,2019Q2,5829.0
Job vacancies - total,41-43 Construction,2019Q3,5005.0
Job vacancies - total,41-43 Construction,2019Q4,4388.0
Job vacancies - total,41-43 Construction,2020Q1,4257.0
Job vacancies - total,41-43 Construction,2020Q2,4468.0
Job vacancies - total,41-43 Construction,2020Q3,5743.0
Job vacancies - total,41-43 Construction,2020Q4,4108.0
Job vacancies - total,41-43 Construction,2021Q1,5927.0
Job vacancies - total,41-43 Construction,2021Q2,6181.0
Job vacancies - total,41-43 Construction,2021Q3,6909.0
Job vacancies - total,41-43 Construction,2021Q4,6107.0
Job vacancies - total,41-43 Construction,2022Q1,7735.0
Job vacancies - total,41-43 Construction,2022Q2,8644.0
Job vacancies - total,41-43 Construction,2022Q3,7931.0
Job vacancies - total,41-43 Construction,2022Q4,7272.0
Job vacancies - total,41-43 Construction,2023Q1,8695.0
Job vacancies - total,41-43 Construction,2023Q2,7868.0
Job vacancies - total,41-43 Construction,2023Q3,7426.0
Job vacancies - total,41-43 Construction,2023Q4,7989.0
Job vacancies - total,41-43 Construction,2024Q1,7877.0
Job vacancies - total,41-43 Construction,2024Q2,6847.0
Job vacancies - total,41-43 Construction,2024Q3,7316.0
Job vacancies - total,41-43 Construction,2024Q4,6822.0
Job vacancies - total,41-43 Construction,2025Q1,6061.0
Job vacancies - total,41-43 Construction,2025Q2,5853.0
Job vacancies - total,41-43 Construction,2025Q3,6818.0
Job vacancies - total,41-43 Construction,2025Q4,7354.0
Job vacancies - total,45-96 SECTOR III,1992Q2,
Job vacancies - total,45-96 SECTOR III,1992Q3,
Job vacancies - total,45-96 SECTOR III,1992Q4,
Job vacancies - total,45-96 SECTOR III,1993Q1,
Job vacancies - total,45-96 SECTOR III,1993Q2,
Job vacancies - total,45-96 SECTOR III,1993Q3,
Job vacancies - total,45-96 SECTOR III,1993Q4,
Job vacancies - total,45-96 SECTOR III,1994Q1,
Job vacancies - total,45-96 SECTOR III,1994Q2,
Job vacancies - total,45-96 SECTOR III,1994Q3,
Job vacancies - total,45-96 SECTOR III,1994Q4,
Job vacancies - total,45-96 SECTOR III,1995Q1,
Job vacancies - total,45-96 SECTOR III,1995Q2,
Job vacancies - total,45-96 SECTOR III,1995Q3,
Job vacancies - total,45-96 SECTOR III,1995Q4,
Job vacancies - total,45-96 SECTOR III,1996Q1,
Job vacancies - total,45-96 SECTOR III,1996Q2,
Job vacancies - total,45-96 SECTOR III,1996Q3,
Job vacancies - total,45-96 SECTOR III,1996Q4,
Job vacancies - total,45-96 SECTOR III,1997Q1,
Job vacancies - total,45-96 SECTOR III,1997Q2,
Job vacancies - total,45-96 SECTOR III,1997Q3,
Job vacancies - total,45-96 SECTOR III,1997Q4,
Job vacancies - total,45-96 SECTOR III,1998Q1,
Job vacancies - total,45-96 SECTOR III,1998Q2,
Job vacancies - total,45-96 SECTOR III,1998Q3,
Job vacancies - total,45-96 SECTOR III,1998Q4,
Job vacancies - total,45-96 SECTOR III,1999Q1,
Job vacancies - total,45-96 SECTOR III,1999Q2,
Job vacancies - total,45-96 SECTOR III,1999Q3,
Job vacancies - total,45-96 SECTOR III,1999Q4,
Job vacancies - total,45-96 SECTOR III,2000Q1,
Job vacancies - total,45-96 SECTOR III,2000Q2,
Job vacancies - total,45-96 SECTOR III,2000Q3,
Job vacancies - total,45-96 SECTOR III,2000Q4,
Job vacancies - total,45-96 SECTOR III,2001Q1,
Job vacancies - total,45-96 SECTOR III,2001Q2,
Job vacancies - total,45-96 SECTOR III,2001Q3,
Job vacancies - total,45-96 SECTOR III,2001Q4,
Job vacancies - total,45-96 SECTOR III,2002Q1,
Job vacancies - total,45-96 SECTOR III,2002Q2,
Job vacancies - total,45-96 SECTOR III,2002Q3,
Job vacancies - total,45-96 SECTOR III,2002Q4,
Job vacancies - total,45-96 SECTOR III,2003Q1,
Job vacancies - total,45-96 SECTOR III,2003Q2,26167.0
Job vacancies - total,45-96 SECTOR III,2003Q3,21088.0
Job vacancies - total,45-96 SECTOR III,2003Q4,20764.0
Job vacancies - total,45-96 SECTOR III,2004Q1,28975.0
Job vacancies - total,45-96 SECTOR III,2004Q2,27519.0
Job vacancies - total,45-96 SECTOR III,2004Q3,21991.0
Job vacancies - total,45-96 SECTOR III,2004Q4,21872.0
Job vacancies - total,45-96 SECTOR III,2005Q1,24647.0
Job vacancies - total,45-96 SECTOR III,2005Q2,25152.0
Job vacancies - total,45-96 SECTOR III,2005Q3,25769.0
Job vacancies - total,45-96 SECTOR III,2005Q4,28123.0
Job vacancies - total,45-96 SECTOR III,2006Q1,34611.0
Job vacancies - total,45-96 SECTOR III,2006Q2,35211.0
Job vacancies - total,45-96 SECTOR III,2006Q3,35502.0
Job vacancies - total,45-96 SECTOR III,2006Q4,40329.0
Job vacancies - total,45-96 SECTOR III,2007Q1,44362.0
Job vacancies - total,45-96 SECTOR III,2007Q2,49924.0
Job vacancies - total,45-96 SECTOR III,2007Q3,50862.0
Job vacancies - total,45-96 SECTOR III,2007Q4,49027.0
Job vacancies - total,45-96 SECTOR III,2008Q1,55235.0
Job vacancies - total,45-96 SECTOR III,2008Q2,52871.0
Job vacancies - total,45-96 SECTOR III,2008Q3,50994.0
Job vacancies - total,45-96 SECTOR III,2008Q4,38083.0
Job vacancies - total,45-96 SECTOR III,2009Q1,37978.0
Job vacancies - total,45-96 SECTOR III,2009Q2,38142.0
Job vacancies - total,45-96 SECTOR III,2009Q3,34232.0
Job vacancies - total,45-96 SECTOR III,2009Q4,35810.0
Job vacancies - total,45-96 SECTOR III,2010Q1,38012.0
Job vacancies - total,45-96 SECTOR III,2010Q2,40798.0
Job vacancies - total,45-96 SECTOR III,2010Q3,41645.0
Job vacancies - total,45-96 SECTOR III,2010Q4,39573.0
Job vacancies - total,45-96 SECTOR III,2011Q1,45270.0
Job vacancies - total,45-96 SECTOR III,2011Q2,45131.0
Job vacancies - total,45-96 SECTOR III,2011Q3,40339.0
Job vacancies - total,45-96 SECTOR III,2011Q4,37016.0
Job vacancies - total,45-96 SECTOR III,2012Q1,41281.0
Job vacancies - total,45-96 SECTOR III,2012Q2,39882.0
Job vacancies - total,45-96 SECTOR III,2012Q3,38520.0
Job vacancies - total,45-96 SECTOR III,2012Q4,38280.0
Job vacancies - total,45-96 SECTOR III,2013Q1,42638.0
Job vacancies - total,45-96 SECTOR III,2013Q2,43470.0
Job vacancies - total,45-96 SECTOR III,2013Q3,42423.0
Job vacancies - total,45-96 SECTOR III,2013Q4,41392.0
Job vacancies - total,45-96 SECTOR III,2014Q1,45540.0
Job vacancies - total,45-96 SECTOR III,2014Q2,44014.0
Job vacancies - total,45-96 SECTOR III,2014Q3,43261.0
Job vacancies - total,45-96 SECTOR III,2014Q4,41684.0
Job vacancies - total,45-96 SECTOR III,2015Q1,44090.0
Job vacancies - total,45-96 SECTOR III,2015Q2,41980.0
Job vacancies - total,45-96 SECTOR III,2015Q3,39638.0
Job vacancies - total,45-96 SECTOR III,2015Q4,39570.0
Job vacancies - total,45-96 SECTOR III,2016Q1,41727.0
Job vacancies - total,45-96 SECTOR III,2016Q2,42970.0
Job vacancies - total,45-96 SECTOR III,2016Q3,43570.0
Job vacancies - total,45-96 SECTOR III,2016Q4,41607.0
Job vacancies - total,45-96 SECTOR III,2017Q1,46251.0
Job vacancies - total,45-96 SECTOR III,2017Q2,46328.0
Job vacancies - total,45-96 SECTOR III,2017Q3,44575.0
Job vacancies - total,45-96 SECTOR III,2017Q4,47094.0
Job vacancies - total,45-96 SECTOR III,2018Q1,52329.0
Job vacancies - total,45-96 SECTOR III,2018Q2,54890.0
Job vacancies - total,45-96 SECTOR III,2018Q3,54988.0
Job vacancies - total,45-96 SECTOR III,2018Q4,56055.0
Job vacancies - total,45-96 SECTOR III,2019Q1,59645.0
Job vacancies - total,45-96 SECTOR III,2019Q2,66327.0
Job vacancies - total,45-96 SECTOR III,2019Q3,63721.0
Job vacancies - total,45-96 SECTOR III,2019Q4,64827.0
Job vacancies - total,45-96 SECTOR III,2020Q1,55004.0
Job vacancies - total,45-96 SECTOR III,2020Q2,47739.0
Job vacancies - total,45-96 SECTOR III,2020Q3,52012.0
Job vacancies - total,45-96 SECTOR III,2020Q4,51887.0
Job vacancies - total,45-96 SECTOR III,2021Q1,54133.0
Job vacancies - total,45-96 SECTOR III,2021Q2,67046.0
Job vacancies - total,45-96 SECTOR III,2021Q3,74255.0
Job vacancies - total,45-96 SECTOR III,2021Q4,79558.0
Job vacancies - total,45-96 SECTOR III,2022Q1,92408.0
Job vacancies - total,45-96 SECTOR III,2022Q2,96673.0
Job vacancies - total,45-96 SECTOR III,2022Q3,93620.0
Job vacancies - total,45-96 SECTOR III,2022Q4,94304.0
Job vacancies - total,45-96 SECTOR III,2023Q1,93880.0
Job vacancies - total,45-96 SECTOR III,2023Q2,92524.0
Job vacancies - total,45-96 SECTOR III,2023Q3,86787.0
Job vacancies - total,45-96 SECTOR III,2023Q4,83186.0
Job vacancies - total,45-96 SECTOR III,2024Q1,87157.0
Job vacancies - total,45-96 SECTOR III,2024Q2,80448.0
Job vacancies - total,45-96 SECTOR III,2024Q3,75265.0
Job vacancies - total,45-96 SECTOR III,2024Q4,68714.0
Job vacancies - total,45-96 SECTOR III,2025Q1,72636.0
Job vacancies - total,45-96 SECTOR III,2025Q2,73945.0
Job vacancies - total,45-96 SECTOR III,2025Q3,68060.0
Job vacancies - total,45-96 SECTOR III,2025Q4,66511.0
Job vacancies - total,45-47 Trade and repair of motor vehicles and motorcycles,1992Q2,
Job vacancies - total,45-47 Trade and repair of motor vehicles and motorcycles,1992Q3,
Job vacancies - total,45-47 Trade and repair of motor vehicles and motorcycles,1992Q4,
Job vacancies - total,45-47 Trade and repair of motor vehicles and motorcycles,1993Q1,
Job vacancies - total,45-47 Trade and repair of motor vehicles and motorcycles,1993Q2,
Job vacancies - total,45-47 Trade and repair of motor vehicles and motorcycles,1993Q3,
Job vacancies - total,45-47 Trade and repair of motor vehicles and motorcycles,1993Q4,
Job vacancies - total,45-47 Trade and repair of motor vehicles and motorcycles,1994Q1,
Job vacancies - total,45-47 Trade and repair of motor vehicles and motorcycles,1994Q2,
Job vacancies - total,45-47 Trade and repair of motor vehicles and motorcycles,1994Q3,
Job vacancies - total,45-47 Trade and repair of motor vehicles and motorcycles,1994Q4,
Job vacancies - total,45-47 Trade and repair of motor vehicles and motorcycles,1995Q1,
Job vacancies - total,45-47 Trade and repair of motor vehicles and motorcycles,1995Q2,
Job vacancies - total,45-47 Trade and repair of motor vehicles and motorcycles,1995Q3,
Job vacancies - total,45-47 Trade and repair of motor vehicles and motorcycles,1995Q4,
Job vacancies - total,45-47 Trade and repair of motor vehicles and motorcycles,1996Q1,
Job vacancies - total,45-47 Trade and repair of motor vehicles and motorcycles,1996Q2,
Job vacancies - total,45-47 Trade and repair of motor vehicles and motorcycles,1996Q3,
Job vacancies - total,45-47 Trade and repair of motor vehicles and motorcycles,1996Q4,
Job vacancies - total,45-47 Trade and repair of motor vehicles and motorcycles,1997Q1,
Job vacancies - total,45-47 Trade and repair of motor vehicles and motorcycles,1997Q2,
Job vacancies - total,45-47 Trade and repair of motor vehicles and motorcycles,1997Q3,
Job vacancies - total,45-47 Trade and repair of motor vehicles and motorcycles,1997Q4,
Job vacancies - total,45-47 Trade and repair of motor vehicles and motorcycles,1998Q1,
Job vacancies - total,45-47 Trade and repair of motor vehicles and motorcycles,1998Q2,
Job vacancies - total,45-47 Trade and repair of motor vehicles and motorcycles,1998Q3,
Job vacancies - total,45-47 Trade and repair of motor vehicles and motorcycles,1998Q4,
Job vacancies - total,45-47 Trade and repair of motor vehicles and motorcycles,1999Q1,
Job vacancies - total,45-47 Trade and repair of motor vehicles and motorcycles,1999Q2,
Job vacancies - total,45-47 Trade and repair of motor vehicles and motorcycles,1999Q3,
Job vacancies - total,45-47 Trade and repair of motor vehicles and motorcycles,1999Q4,
Job vacancies - total,45-47 Trade and repair of motor vehicles and motorcycles,2000Q1,
Job vacancies - total,45-47 Trade and repair of motor vehicles and motorcycles,2000Q2,
Job vacancies - total,45-47 Trade and repair of motor vehicles and motorcycles,2000Q3,
Job vacancies - total,45-47 Trade and repair of motor vehicles and motorcycles,2000Q4,
Job vacancies - total,45-47 Trade and repair of motor vehicles and motorcycles,2001Q1,
Job vacancies - total,45-47 Trade and repair of motor vehicles and motorcycles,2001Q2,
